court,casenum,file_date,top_ct_desc,top_ct_statute,n_ct,ojo_burg_cat
ROGERS,CF-2019-00400,6/25/19,ATTEMPTED BURGLARY IN THE FIRST DEGREE,21.1431,1,FIRST DEGREE
ROGERS,CF-2019-00417,6/27/19,BURGLARY IN THE FIRST DEGREE,21.1431,5,FIRST DEGREE
ROGERS,CF-2019-00419,6/27/19,BURGLARY IN THE FIRST DEGREE,21.1431,5,FIRST DEGREE
ROGERS,CF-2019-00425,7/2/19,BURGLARY IN THE FIRST DEGREE,21.1431,2,FIRST DEGREE
ROGERS,CF-2019-00445,7/11/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00446,7/11/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00477,7/23/19,BURGLARY IN THE 3RD DEGREE,21.1435.B,1,THIRD DEGREE
ROGERS,CF-2019-00487,7/30/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00493,7/31/19,BURGLARY IN THE SECOND DEGREE,21.1435,3,SECOND DEGREE
ROGERS,CF-2019-00507,8/6/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00508,8/6/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00536,8/15/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2019-00569,8/29/19,BURGLARY IN THE SECOND DEGREE,21.1435,3,SECOND DEGREE
ROGERS,CF-2019-00571,8/29/19,BURGLARY IN THE 3RD DEGREE,21.1435.B,2,THIRD DEGREE
ROGERS,CF-2019-00598,9/11/19,BURGLARY IN THE SECOND DEGREE,21.1435,5,SECOND DEGREE
ROGERS,CF-2019-00604,9/11/19,BURGLARY IN THE SECOND DEGREE,21.1435,4,SECOND DEGREE
ROGERS,CF-2019-00606,9/12/19,BURGLARY IN THE SECOND DEGREE,21.1435,8,SECOND DEGREE
ROGERS,CF-2019-00626,9/20/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00630,9/20/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00650,10/3/19,BURGLARY IN THE SECOND DEGREE,21.1435,8,SECOND DEGREE
ROGERS,CF-2019-00654,10/3/19,BURGLARY IN THE SECOND DEGREE,21.1435,4,SECOND DEGREE
ROGERS,CF-2019-00680,10/18/19,BURGLARYIN THE 3RD DEGREE,21.1435.B,3,THIRD DEGREE
ROGERS,CF-2019-00691,10/28/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00692,10/28/19,BURGLARY IN THE 3RD DEGREE,21.1435.B,1,THIRD DEGREE
ROGERS,CF-2019-00700,10/30/19,ATTEMPTED BURGLARY IN THE FIRST DEGREE,21.1431,4,FIRST DEGREE
ROGERS,CF-2019-00717,11/6/19,BURGLARY IN THE 3RD DEGREE,21.1435.B,6,THIRD DEGREE
ROGERS,CF-2019-00752,11/20/19,BURGLARY IN THE THIRD DEGREE,21.1435.B,3,THIRD DEGREE
ROGERS,CF-2019-00769,12/4/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00770,12/4/19,BURGLARY IN THE FIRST DEGREE,21.1431,7,FIRST DEGREE
ROGERS,CF-2019-00779,12/5/19,BURGLARY IN THE THIRD DEGREE,21.1435.B,2,THIRD DEGREE
ROGERS,CF-2019-00822,12/18/19,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2019-00823,12/18/19,BURGLARY IN THE SECOND DEGREE,21.1435,1,SECOND DEGREE
ROGERS,CF-2020-00003,1/7/20,BURGLARY IN THE SECOND DEGREE,21.1435.B,3,SECOND DEGREE
ROGERS,CF-2020-00057,1/23/20,BURGLARY IN THE FIRST DEGREE,21.1431,4,FIRST DEGREE
ROGERS,CF-2020-00077,1/30/20,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2020-00082,1/30/20,BURGLARY IN THE FIRST DEGREE,21.1431,3,FIRST DEGREE
ROGERS,CF-2020-00085,1/30/20,BURGLARY IN THE SECOND DEGREE,21.1435,2,SECOND DEGREE
ROGERS,CF-2020-00095,2/6/20,BURGLARY IN THE SECOND DEGREE,21.1435.B,2,SECOND DEGREE
ROGERS,CF-2020-00097,2/10/20,BURGLARY IN THE THIRD DEGREE,21.1435.B,5,THIRD DEGREE
ROGERS,CF-2020-00101,2/12/20,BURGLARY IN THE THIRD DEGREE,21.1435.B,4,THIRD DEGREE
ROGERS,CF-2020-00102,2/12/20,BURGLARY IN THE THIRD DEGREE,21.1435.B,4,THIRD DEGREE
ROGERS,CF-2020-00103,2/13/20,BURGLARY IN THE THIRD DEGREE,21.1435.B,4,THIRD DEGREE
ROGERS,CF-2020-00127,2/20/20,BURGLARY IN THE FIRST DEGREE,21.1431,2,FIRST DEGREE
ROGERS,CF-2020-00132,2/25/20,BURGLARY IN THE SECOND DEGREE,21.1435,3,SECOND DEGREE
ROGERS,CF-2020-00140,2/27/20,BURGLARY IN THE SECOND DEGREE,21.1435,7,SECOND DEGREE
ROGERS,CF-2020-00142,2/28/20,BURGLARY IN THE SECOND DEGREE,21.1435,5,SECOND DEGREE
TULSA,CF-2018-00018,1/2/18,BURGLARY - FIRST DEGREE,21.1431,6,FIRST DEGREE
TULSA,CF-2018-00088,1/8/18,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
TULSA,CF-2018-00098,1/8/18,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
TULSA,CF-2018-00104,1/9/18,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
TULSA,CF-2018-00107,1/9/18,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
TULSA,CF-2018-00108,1/9/18,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
TULSA,CF-2018-00108,1/9/18,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
TULSA,CF-2018-00108,1/9/18,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
TULSA,CF-2018-00137,1/11/18,BURGLARY - SECOND DEGREE,21.1435,5,SECOND DEGREE
TULSA,CF-2018-00137,1/11/18,BURGLARY - SECOND DEGREE,21.1435,5,SECOND DEGREE
TULSA,CF-2018-00141,1/11/18,BURGLARY - FIRST DEGREE,21.1431,1,FIRST DEGREE
TULSA,CF-2018-00151,1/12/18,ATTEMPTEFD BURGLARY - FIRST DEGREE,21.1431,4,FIRST DEGREE
TULSA,CF-2018-00157,1/12/18,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
TULSA,CF-2018-00179,1/17/18,BURGLARY - FIRST DEGREE,21.1431,6,FIRST DEGREE
TULSA,CF-2018-00196,1/17/18,BURGLARY - SECOND DEGREE,21.1435,4,SECOND DEGREE
TULSA,CF-2018-00197,1/17/18,BURGLARY OF AUTOMOBILE,21.1435,1,SECOND DEGREE
TULSA,CF-2018-00210,1/18/18,BURGLARY - FIRST DEGREE,21.1431,5,FIRST DEGREE
TULSA,CF-2018-00212,1/18/18,BURGLARY - FIRST DEGREE,21.1431,2,FIRST DEGREE
TULSA,CF-2018-00220,1/18/18,BURGLARY - SECOND DEGREE,21.1435,2,SECOND DEGREE
TULSA,CF-2018-00250,1/19/18,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
TULSA,CF-2018-00252,1/19/18,BURGLARY - FIRST DEGREE,21.1431,4,FIRST DEGREE
TULSA,CF-2018-00253,1/19/18,BURGLARY - SECOND DEGREE,21.1435,2,SECOND DEGREE
TULSA,CF-2018-00253,1/19/18,BURGLARY - SECOND DEGREE,21.1435,2,SECOND DEGREE
TULSA,CF-2018-00263,1/22/18,BURGLARY - FIRST DEGREE,21.1431,2,FIRST DEGREE
TULSA,CF-2018-00289,1/23/18,BURGLARY - FIRST DEGREE,21.1431,2,FIRST DEGREE
TULSA,CF-2018-00294,1/23/18,BURGLARY - FIRST DEGREE,21.1431,3,FIRST DEGREE
TULSA,CF-2018-00298,1/24/18,BURGLARY - FIRST DEGREE,21.1431,3,FIRST DEGREE
TULSA,CF-2018-00328,1/25/18,BURGLARY - SECOND DEGREE,21.1435,1,SECOND DEGREE
